Player,NBA_Country,Salary,Age
Ivica Zubac,Croatia,1312611,20
Ivan Rabb,USA,950000,20
Ish Smith,USA,6000000,29
Isaiah Whitehead,USA,1312611,22
Isaiah Thomas,USA,6261395,28
Isaiah Taylor,USA,1312611,23
Isaiah Hicks,USA,0,23
Isaiah Canaan,USA,1069308,26
Iman Shumpert,USA,10337079,27
Ike Anigbogu,USA,950000,19
Ian Mahinmi,France,16661641,31
Ian Clark,USA,1577230,26
Henry Ellenson,USA,1780800,21
Hassan Whiteside,USA,23775506,28
Harrison Barnes,USA,23112004,25
Guerschon Yabusele,France,2247480,22
Greg Monroe,USA,17884176,27
Gorgui Dieng,Senegal,14112360,28
Gordon Hayward,USA,29727900,27
Goran Dragic,Slovenia,17000450,31
Glenn Robinson,USA,1524305,24
Giannis Antetokounmpo,Greece,22471910,23
Gian Clavell,Puerto Rico,50000,24
Gerald Green,USA,947248,32
Georgios Papagiannis,Greece,2301360,20
Georges Niang,USA,100000,24
George Hill,USA,20000000,31
Gary Payton,USA,50000,25
Gary Harris,USA,2550055,23
Garrett Temple,USA,8000000,31
Furkan Korkmaz,Turkey,1465920,20
Fred VanVleet,USA,1312611,23
Frank Ntilikina,France,3501120,19
Frank Mason,USA,1184385,23
Frank Kaminsky,USA,2847600,24
Evan Turner,USA,17131148,29
Evan Fournier,France,17000000,25
E'Twaun Moore,USA,8445024,28
Ersan Ilyasova,Turkey,6000000,30
Erik McCree,USA,0,24
Eric Moreland,USA,1739333,26
Eric Gordon,USA,12943020,29
Eric Bledsoe,USA,14500000,28
Enes Kanter,Turkey,20566802,25
Emmanuel Mudiay,Democratic Re...,3381480,21
Emeka Okafor,USA,239204,35
Elfrid Payton,USA,3332340,23
Ekpe Udoh,USA,3200000,30
Ed Davis,USA,6352531,28
Dwyane Wade,USA,15550000,36
Dwight Powell,Canada,9003125,26
Dwight Howard,USA,23500000,32
Dwight Buycks,USA,748160,28
Dwayne Bacon,USA,815615,22
Draymond Green,USA,16400000,27
Dragan Bender,Croatia,4468800,20
Doug McDermott,USA,3294994,26
Dorian Finney-Smith,USA,1312611,24
Donovan Mitchell,USA,2621280,21
Domantas Sabonis,Lithuania,2550000,21
Dirk Nowitzki,Germany,5000000,39
Dion Waiters,USA,11000000,26
Dillon Brooks,Canada,815615,22
Deyonta Davis,USA,1312611,21
Dewayne Dedmon,USA,6000000,28
Devin Harris,USA,4402546,34
Devin Booker,USA,2319360,21
Derrick Williams,USA,104059,26
Derrick White,USA,1404600,23
Derrick Walton,USA,0,22
Derrick Rose,USA,2116955,29
Derrick Jones,USA,1312611,20
Derrick Favors,USA,12000000,26
Denzel Valentine,USA,2186400,24
Dennis Smith,USA,3218280,20
Dennis Schroder,Germany,15500000,24
Demetrius Jackson,USA,92858,23
DeMarre Carroll,USA,14800000,31
DeMarcus Cousins,USA,18063850,27
DeMar DeRozan,USA,27739975,28
Delon Wright,USA,1645200,25
Dejounte Murray,USA,1312611,21
DeAndre Liggins,USA,1577230,29
DeAndre Jordan,USA,22642350,29
DeAndre' Bembry,USA,1567200,23
De'Aaron Fox,USA,4609200,20
Davon Reed,USA,815615,22
Davis Bertans,Latvia,1312611,25
David West,USA,2328652,37
David Stockton,USA,148318,26
David Nwaba,USA,1312611,25
Darrun Hilliard,USA,0,24
Darren Collison,USA,10000000,30
Darrell Arthur,USA,7464912,29
Darius Miller,USA,2100000,27
Dario Saric,Croatia,2422560,23
Danuel House,USA,0,24
Dante Exum,Australia,4992385,22
Dante Cunningham,USA,2300000,30
Danny Green,USA,10000000,30
Danilo Gallinari,Italy,20559599,29
Daniel Theis,Germany,815615,25
Daniel Hamilton,USA,0,22
D'Angelo Russell,USA,5562360,21
Damyean Dotson,USA,1100000,23
Damion Lee,USA,92160,25
Damien Wilkins,USA,2116955,38
Damian Lillard,USA,26153057,27
Damian Jones,USA,1312611,22
Dakari Johnson,USA,815615,22
D.J. Wilson,USA,2135040,21
D.J. Augustin,USA,7250000,30
Cristiano Felicio,Brazil,7843500,25
Courtney Lee,USA,11747890,32
Cory Joseph,Canada,7630000,26
Corey Brewer,USA,7579366,31
Cole Aldrich,USA,7300000,29
Cody Zeller,USA,12584270,25
Clint Capela,Switzerland,2334520,23
Chris Paul,USA,24599495,32
Chris McCullough,USA,1471382,22
Chris Boucher,Canada,0,25
Cheick Diallo,Mali,1312611,21
Charles Cooke,USA,0,23
Channing Frye,USA,7420912,34
Chandler Parsons,USA,23112004,29
Cedi Osman,Turkey,2642857,22
Carmelo Anthony,USA,26243760,33
Caris LeVert,USA,1632480,23
Cameron Payne,USA,2203440,23
Caleb Swanigan,USA,1465920,20
C.J. Williams,USA,0,27
C.J. Miles,USA,7936509,30
C.J. McCollum,USA,23962573,26
Buddy Hield,Bahamas,3675480,24
Bryn Forbes,USA,1312611,24
Bruno Caboclo,Brazil,2451225,22
Brook Lopez,USA,22642350,29
Brice Johnson,USA,1331160,23
Briante Weber,USA,83129,25
Brandon Paul,USA,815615,26
Brandon Jennings,USA,238020,28
Brandon Ingram,USA,5519400,20
Brandan Wright,USA,5179760,30
Bradley Beal,USA,23775506,24
Bojan Bogdanovic,Croatia,10500000,28
Bogdan Bogdanovic,Serbia,9470614,25
Bobby Portis,USA,1516320,22
Bobby Brown,USA,1524305,33
Boban Marjanovic,Serbia,7000000,29
Blake Griffin,USA,29512900,28
Bismack Biyombo,Democratic Re...,17000000,25
Ben Simmons,Australia,6168840,21
Ben Moore,USA,0,22
Ben McLemore,USA,5200000,24
Bam Adebayo,USA,2490360,20
Avery Bradley,USA,8808989,27
Austin Rivers,USA,11825000,25
Arron Afflalo,USA,2328652,32
Aron Baynes,Australia,4328000,31
Antonius Cleveland,USA,92160,23
Antonio Blakeney,USA,0,21
